,Point_ID,Region,Province Code,Crop Type,Month Start Date,Month End Date,ACI Crop ID,Longitude,Latitude,File Name,Available
0,1,Alberta,AB,pasture,2019-06-01,2019-06-30,122,-116.2737833,50.77492241,POINT_1_201906_AB_PASTURE,FALSE
1,1,Alberta,AB,pasture,2019-07-01,2019-07-31,122,-116.2737833,50.77492241,POINT_1_201907_AB_PASTURE,TRUE
2,1,Alberta,AB,pasture,2019-08-01,2019-08-31,122,-116.2737833,50.77492241,POINT_1_201908_AB_PASTURE,TRUE
3,1,Alberta,AB,pasture,2019-09-01,2019-09-30,122,-116.2737833,50.77492241,POINT_1_201909_AB_PASTURE,FALSE
4,1,Alberta,AB,pasture,2019-10-01,2019-10-31,122,-116.2737833,50.77492241,POINT_1_201910_AB_PASTURE,FALSE
5,2,Alberta,AB,barley,2019-06-01,2019-06-30,133,-114.6319025,52.32922162,POINT_2_201906_AB_BARLEY,FALSE
6,2,Alberta,AB,barley,2019-07-01,2019-07-31,133,-114.6319025,52.32922162,POINT_2_201907_AB_BARLEY,TRUE
7,2,Alberta,AB,barley,2019-08-01,2019-08-31,133,-114.6319025,52.32922162,POINT_2_201908_AB_BARLEY,TRUE
8,2,Alberta,AB,barley,2019-09-01,2019-09-30,133,-114.6319025,52.32922162,POINT_2_201909_AB_BARLEY,TRUE
9,2,Alberta,AB,barley,2019-10-01,2019-10-31,133,-114.6319025,52.32922162,POINT_2_201910_AB_BARLEY,TRUE
10,3,Alberta,AB,barley,2019-06-01,2019-06-30,133,-114.6305292,52.32334648,POINT_3_201906_AB_BARLEY,FALSE
11,3,Alberta,AB,barley,2019-07-01,2019-07-31,133,-114.6305292,52.32334648,POINT_3_201907_AB_BARLEY,TRUE
12,3,Alberta,AB,barley,2019-08-01,2019-08-31,133,-114.6305292,52.32334648,POINT_3_201908_AB_BARLEY,TRUE
13,3,Alberta,AB,barley,2019-09-01,2019-09-30,133,-114.6305292,52.32334648,POINT_3_201909_AB_BARLEY,TRUE
14,3,Alberta,AB,barley,2019-10-01,2019-10-31,133,-114.6305292,52.32334648,POINT_3_201910_AB_BARLEY,TRUE
15,4,Alberta,AB,barley,2019-06-01,2019-06-30,133,-114.466421,52.31495206,POINT_4_201906_AB_BARLEY,FALSE
16,4,Alberta,AB,barley,2019-07-01,2019-07-31,133,-114.466421,52.31495206,POINT_4_201907_AB_BARLEY,TRUE
17,4,Alberta,AB,barley,2019-08-01,2019-08-31,133,-114.466421,52.31495206,POINT_4_201908_AB_BARLEY,TRUE
18,4,Alberta,AB,barley,2019-09-01,2019-09-30,133,-114.466421,52.31495206,POINT_4_201909_AB_BARLEY,TRUE
19,4,Alberta,AB,barley,2019-10-01,2019-10-31,133,-114.466421,52.31495206,POINT_4_201910_AB_BARLEY,TRUE
20,5,Alberta,AB,corn,2019-06-01,2019-06-30,147,-114.353,51.72757,POINT_5_201906_AB_CORN,FALSE
21,5,Alberta,AB,corn,2019-07-01,2019-07-31,147,-114.353,51.72757,POINT_5_201907_AB_CORN,TRUE
22,5,Alberta,AB,corn,2019-08-01,2019-08-31,147,-114.353,51.72757,POINT_5_201908_AB_CORN,TRUE
23,5,Alberta,AB,corn,2019-09-01,2019-09-30,147,-114.353,51.72757,POINT_5_201909_AB_CORN,TRUE
24,5,Alberta,AB,corn,2019-10-01,2019-10-31,147,-114.353,51.72757,POINT_5_201910_AB_CORN,FALSE
25,6,Alberta,AB,barley,2019-06-01,2019-06-30,133,-114.3494445,52.20843612,POINT_6_201906_AB_BARLEY,FALSE
26,6,Alberta,AB,barley,2019-07-01,2019-07-31,133,-114.3494445,52.20843612,POINT_6_201907_AB_BARLEY,TRUE
27,6,Alberta,AB,barley,2019-08-01,2019-08-31,133,-114.3494445,52.20843612,POINT_6_201908_AB_BARLEY,TRUE
28,6,Alberta,AB,barley,2019-09-01,2019-09-30,133,-114.3494445,52.20843612,POINT_6_201909_AB_BARLEY,TRUE
29,6,Alberta,AB,barley,2019-10-01,2019-10-31,133,-114.3494445,52.20843612,POINT_6_201910_AB_BARLEY,FALSE
30,7,Alberta,AB,corn,2019-06-01,2019-06-30,147,-114.302,51.74171,POINT_7_201906_AB_CORN,FALSE
31,7,Alberta,AB,corn,2019-07-01,2019-07-31,147,-114.302,51.74171,POINT_7_201907_AB_CORN,TRUE
32,7,Alberta,AB,corn,2019-08-01,2019-08-31,147,-114.302,51.74171,POINT_7_201908_AB_CORN,TRUE
33,7,Alberta,AB,corn,2019-09-01,2019-09-30,147,-114.302,51.74171,POINT_7_201909_AB_CORN,TRUE
34,7,Alberta,AB,corn,2019-10-01,2019-10-31,147,-114.302,51.74171,POINT_7_201910_AB_CORN,FALSE
35,8,Alberta,AB,barley,2019-06-01,2019-06-30,133,-114.2892799,54.37787874,POINT_8_201906_AB_BARLEY,FALSE
36,8,Alberta,AB,barley,2019-07-01,2019-07-31,133,-114.2892799,54.37787874,POINT_8_201907_AB_BARLEY,FALSE
37,8,Alberta,AB,barley,2019-08-01,2019-08-31,133,-114.2892799,54.37787874,POINT_8_201908_AB_BARLEY,TRUE
38,8,Alberta,AB,barley,2019-09-01,2019-09-30,133,-114.2892799,54.37787874,POINT_8_201909_AB_BARLEY,TRUE
39,8,Alberta,AB,barley,2019-10-01,2019-10-31,133,-114.2892799,54.37787874,POINT_8_201910_AB_BARLEY,TRUE
40,9,Alberta,AB,barley,2019-06-01,2019-06-30,133,-114.2336481,52.34558397,POINT_9_201906_AB_BARLEY,FALSE
41,9,Alberta,AB,barley,2019-07-01,2019-07-31,133,-114.2336481,52.34558397,POINT_9_201907_AB_BARLEY,FALSE
42,9,Alberta,AB,barley,2019-08-01,2019-08-31,133,-114.2336481,52.34558397,POINT_9_201908_AB_BARLEY,TRUE
43,9,Alberta,AB,barley,2019-09-01,2019-09-30,133,-114.2336481,52.34558397,POINT_9_201909_AB_BARLEY,TRUE
44,9,Alberta,AB,barley,2019-10-01,2019-10-31,133,-114.2336481,52.34558397,POINT_9_201910_AB_BARLEY,TRUE
45,10,Alberta,AB,corn,2019-06-01,2019-06-30,147,-114.229,51.68864,POINT_10_201906_AB_CORN,FALSE
46,10,Alberta,AB,corn,2019-07-01,2019-07-31,147,-114.229,51.68864,POINT_10_201907_AB_CORN,TRUE
47,10,Alberta,AB,corn,2019-08-01,2019-08-31,147,-114.229,51.68864,POINT_10_201908_AB_CORN,TRUE
48,10,Alberta,AB,corn,2019-09-01,2019-09-30,147,-114.229,51.68864,POINT_10_201909_AB_CORN,TRUE
